"","lhs","","rhs","support","confidence","lift"
"[3]","{hair=FALSE}","=>","{fins=TRUE}",0.148514851485149,0.258620689655172,1.53651115618661
"[1]","{hair=FALSE,legs=TRUE}","=>","{fins=FALSE}",0.356435643564356,1,1.20238095238095
"[1]1","{hair=FALSE,legs=TRUE}","=>","{fins=FALSE}",0.356435643564356,1,1.20238095238095
"[1]2","{toothed=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.227722772277228,1,1.2625
"[2]2","{aquatic=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.485148514851485,1,1.2625
"[3]2","{legs=TRUE,tail=TRUE}","=>","{breathes=TRUE}",0.564356435643564,1,1.2625
"[4]","{fins=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.574257425742574,0.983050847457627,1.24110169491525
"[1]11","{toothed=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.227722772277228,1,1.2625
"[2]1","{aquatic=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.485148514851485,1,1.2625
"[3]1","{legs=TRUE,tail=TRUE}","=>","{breathes=TRUE}",0.564356435643564,1,1.2625
"[4]1","{fins=FALSE,tail=TRUE}","=>","{breathes=TRUE}",0.574257425742574,0.983050847457627,1.24110169491525
"[3]3","{hair=FALSE}","=>","{fins=TRUE}",0.148514851485149,0.258620689655172,1.53651115618661
"[1]3","{hair=FALSE,legs=TRUE}","=>","{fins=FALSE}",0.356435643564356,1,1.20238095238095
"[1]12","{hair=FALSE,legs=TRUE}","=>","{fins=FALSE}",0.356435643564356,1,1.20238095238095
"[1]4","{backbone=TRUE,domestic=FALSE}","=>","{tail=TRUE}",0.633663366336634,0.901408450704225,1.21389671361502
"[1]13","{backbone=TRUE,domestic=FALSE}","=>","{tail=TRUE}",0.633663366336634,0.901408450704225,1.21389671361502
"[1]7","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
"[1]16","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
"[1]8","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
"[1]17","{feathers=FALSE,venomous=FALSE}","=>","{airborne=FALSE}",0.663366336633663,0.917808219178082,1.20387831346735
"[1]9","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]18","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]10","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]9","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]19","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]17","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]20","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]110","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]22","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]19","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]9","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]5","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]6","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]3","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]3","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]3","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]3","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[1]112","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]110","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]15","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]13","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]11","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]11","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]11","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]11","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]11","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[1]23","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]113","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]24","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]21","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]114","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]112","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]25","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]115","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]27","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]23","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]17","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]6","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]8","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]5","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]5","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]5","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]5","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[1]117","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]114","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]18","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]14","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]12","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]12","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]12","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]12","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]12","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[1]28","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]118","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]29","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]25","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]119","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]116","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]30","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]120","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
