"","Id","Prediction"
"1","1","Colision_Vehiculos"
"2","2","Colision_Vehiculos"
"3","3","Colision_Vehiculos"
"4","4","Colision_Vehiculos"
"5","5","Salida_Via"
"6","6","Salida_Via"
"7","7","Colision_Vehiculos"
"8","8","Colision_Vehiculos"
"9","9","Salida_Via"
"10","10","Colision_Vehiculos"
"11","11","Salida_Via"
"12","12","Salida_Via"
"13","13","Salida_Via"
"14","14","Colision_Vehiculos"
"15","15","Colision_Vehiculos"
"16","16","Colision_Vehiculos"
"17","17","Colision_Vehiculos"
"18","18","Colision_Vehiculos"
"19","19","Salida_Via"
"20","20","Colision_Vehiculos"
"21","21","Salida_Via"
"22","22","Colision_Vehiculos"
"23","23","Salida_Via"
"24","24","Salida_Via"
"25","25","Colision_Vehiculos"
"26","26","Colision_Vehiculos"
"27","27","Colision_Vehiculos"
"28","28","Salida_Via"
"29","29","Colision_Vehiculos"
"30","30","Colision_Vehiculos"
"31","31","Colision_Vehiculos"
"32","32","Colision_Vehiculos"
"33","33","Colision_Vehiculos"
"34","34","Salida_Via"
"35","35","Colision_Vehiculos"
"36","36","Colision_Vehiculos"
"37","37","Colision_Vehiculos"
"38","38","Salida_Via"
"39","39","Salida_Via"
"40","40","Salida_Via"
"41","41","Colision_Vehiculos"
"42","42","Colision_Vehiculos"
"43","43","Colision_Vehiculos"
"44","44","Colision_Vehiculos"
"45","45","Colision_Vehiculos"
"46","46","Colision_Vehiculos"
"47","47","Colision_Vehiculos"
"48","48","Colision_Vehiculos"
"49","49","Colision_Vehiculos"
"50","50","Colision_Vehiculos"
"51","51","Colision_Vehiculos"
"52","52","Salida_Via"
"53","53","Salida_Via"
"54","54","Colision_Vehiculos"
"55","55","Colision_Vehiculos"
"56","56","Colision_Vehiculos"
"57","57","Colision_Vehiculos"
"58","58","Colision_Vehiculos"
"59","59","Salida_Via"
"60","60","Colision_Vehiculos"
"61","61","Salida_Via"
"62","62","Colision_Vehiculos"
"63","63","Colision_Vehiculos"
"64","64","Salida_Via"
"65","65","Colision_Vehiculos"
"66","66","Salida_Via"
"67","67","Salida_Via"
"68","68","Salida_Via"
"69","69","Salida_Via"
"70","70","Colision_Vehiculos"
"71","71","Colision_Vehiculos"
"72","72","Salida_Via"
"73","73","Salida_Via"
"74","74","Colision_Vehiculos"
"75","75","Colision_Vehiculos"
"76","76","Colision_Vehiculos"
"77","77","Colision_Vehiculos"
"78","78","Colision_Vehiculos"
"79","79","Salida_Via"
"80","80","Salida_Via"
"81","81","Salida_Via"
"82","82","Colision_Vehiculos"
"83","83","Salida_Via"
"84","84","Salida_Via"
"85","85","Colision_Vehiculos"
"86","86","Colision_Vehiculos"
"87","87","Colision_Vehiculos"
"88","88","Colision_Vehiculos"
"89","89","Colision_Vehiculos"
"90","90","Colision_Vehiculos"
"91","91","Colision_Vehiculos"
"92","92","Colision_Vehiculos"
"93","93","Colision_Vehiculos"
"94","94","Colision_Vehiculos"
"95","95","Colision_Vehiculos"
"96","96","Colision_Vehiculos"
"97","97","Colision_Vehiculos"
"98","98","Colision_Vehiculos"
"99","99","Colision_Vehiculos"
"100","100","Colision_Vehiculos"
"101","101","Colision_Vehiculos"
"102","102","Salida_Via"
"103","103","Colision_Vehiculos"
"104","104","Colision_Vehiculos"
"105","105","Colision_Vehiculos"
"106","106","Salida_Via"
"107","107","Colision_Vehiculos"
"108","108","Colision_Vehiculos"
"109","109","Salida_Via"
"110","110","Salida_Via"
"111","111","Colision_Vehiculos"
